,Gene,AnomalyScore
3957,PIH1D1,33.81747
1220,GGA1,33.78099
2370,POLR2K,33.75419
571,GGA3,33.62209
3973,TTPAL,33.57051
477,EIF3G,33.565617
2014,IVD,33.509758
2697,TPPP3,33.478336
546,RGS10,33.413273
4246,FAM221B,33.38759
692,PPIH,33.36741
4503,KLK12,33.24172
3676,DENND10,33.24066
4197,CES3,33.214397
288,TMEM119,33.123295
1837,LSM4,33.11426
5065,TNFRSF13C,33.08236
920,PRDM4,32.92319
645,TAPBP,32.86978
3695,CEP41,32.852184
3387,NSL1,32.796265
3179,RACK1,32.760067
1575,GAP43,32.641106
2924,CAMK2N2,32.5909
4865,PDIA3,32.421852
1874,IRF3,32.330536
1401,EEA1,32.30575
3956,DNAJC5B,32.30412
5295,MLEC,32.2898
285,ENO1,32.27431
3181,PSMB10,32.227177
3821,EHD1,32.19637
1355,ARHGEF1,32.120377
716,OTUD5,32.023357
659,CCDC50,31.904736
5023,PDK1,31.818089
4153,HMGB1,31.804937
817,CRAT,31.791613
4536,HTRA2,31.790655
3875,RABEP1,31.789503
1873,HSPE1,31.777857
449,PTK2B,31.720762
2481,PET117,31.634344
2040,NAPG,31.627075
4324,C3,31.410799
3478,ZNF230,31.361593
2912,AMT,31.320309
3004,DNM1L,31.281624
980,TWF1,31.26092
6006,KCNMB3,31.170769
3759,KLHL41,31.129547
1189,PTGR1,31.121428
4774,PKM,31.099016
211,SERPINH1,31.065397
2366,MTHFSD,31.03804
1727,TMEFF1,31.025663
2461,SNTA1,30.979836
1338,SULT1A3,30.974415
2522,KDSR,30.95779
280,PDXK,30.952303
3386,NSMCE2,30.905201
3041,BIN2,30.79004
320,TENM2,30.789867
2019,RAB11A,30.743057
4892,ENG,30.714264
2365,HSPB6,30.680794
2036,PCNP,30.652956
6367,TFAM,30.454908
4888,PPP3CA|PPP3R1,30.452454
680,CACYBP,30.375685
1928,ABHD10,30.247623
6139,TACO1,30.247358
4914,ATP5F1B,30.053444
3720,AGFG2,30.011625
3766,MIEF1,29.987984
2101,RHOB,29.900232
4647,ECE1,29.851027
5682,B4GALT7,29.822187
3600,ARRDC5,29.783737
4087,HDAC6,29.721792
1403,BDNF,29.64168
3475,ZC3H8,29.63664
5289,WSCD2,29.576279
4770,EIF4G2,29.493416
5077,CNDP1,29.476059
2843,NDUFAF2,29.442635
630,MRRF,29.413792
6267,EIF4E2,29.401201
4788,NAPA,29.207323
1991,PSME2,29.159616
4697,AIP,29.15924
2951,TFB1M,29.071966
435,ADH5,28.89145
6251,SLC30A5,28.827253
1234,NCK2,28.812037
2553,KPNA1,28.810932
4970,ICOSLG,28.809105
198,CDYL2,28.773352
2113,PCK1,28.770708
4220,INPP5A,28.639605
4685,PRKCQ,28.477375
794,FERMT3,28.47101
1931,UBE2K,28.44159
1307,ERP29,28.221779
3833,SETD3,28.170115
2604,PCK2,28.168615
2139,UBE2F,28.160269
3848,C8A|C8B|C8G,27.95843
4265,ROR1,27.869167
2683,MED20,27.822464
3193,INHA|INHBA,27.794117
4021,WDR26,27.784357
2636,ITGAV|ITGB3,27.746895
6333,GLO1,27.74065
3643,NUP35,27.590155
6276,VASP,27.571533
1877,PTGES3,27.468363
1152,HSPA9,27.461502
6160,LRRC25,27.45994
1907,ACADM,27.283463
2667,PTRHD1,27.228456
2080,EEF1D,27.224566
1910,YY1,27.220303
3793,PDLIM5,27.176302
4398,CD22,27.15692
2465,RAB1B,27.109163
1786,GPN1,27.010902
4359,MMP7,26.932087
2724,SEMA6D,26.920546
3323,FAM110A,26.839832
1050,S100A6,26.760479
2952,RDH12,26.749939
4162,MTSS2,26.732103
4585,UFC1,26.510633
800,STK24,26.51033
1369,FBL,26.47221
5080,DDX19B,26.440256
1736,CEBPB,26.365355
5007,ICAM5,26.342154
1257,PNKP,26.281784
5229,EIF5A,26.253168
4862,APOD,26.180115
2787,ECHDC1,26.08875
3255,YWHAH,26.013428
3062,ANKRA2,26.002565
2518,GMPR2,25.850634
4175,OSBPL1A,25.847616
4279,OASL,25.806017
1825,CDCP1,25.7655
583,RPS6KB1,25.731142
1827,ATXN3,25.619608
4406,NBL1,25.489807
1985,COMMD9,25.489666
1703,GPX1,25.39182
4149,MPI,25.341194
5082,GRB2,25.246494
2974,PNPT1,25.244074
3618,PHYH,25.185163
3889,DNM1,25.12222
4871,ITIH4,25.120546
5947,CD1D,25.118954
5033,PPIF,25.030127
3826,C15orf40,25.015932
691,NMT1,25.00021
4237,LRRFIP2,24.932396
1157,EIF3J,24.91611
1901,GUK1,24.874424
853,DECR1,24.852137
2782,NAA50,24.817541
4158,ARMC8,24.813671
4366,ANGPT1,24.80763
5656,SFRP2,24.799622
3116,UBE2Q1,24.791332
1088,WNT5A,24.765736
2751,ADGRL3,24.642212
2340,VLDLR,24.526236
4648,GNS,24.520985
3798,RAB7A,24.517694
1812,RAC3,24.485237
4662,A2M,24.29147
4423,EDAR,24.238117
3142,USP4,24.141972
5267,CGB2,24.141182
5249,NXPH3,24.048412
1830,CFLAR,24.04328
703,PSMA7,24.013365
5556,IL21,24.005959
387,GRB7,23.999195
3641,TWF2,23.974997
2494,TXNDC12,23.932934
3490,CXCL2,23.887794
149,TOR1AIP1,23.846855
2348,MEMO1,23.841768
4349,GDF5,23.822716
5103,PDIA5,23.761595
1987,TBCB,23.76155
4632,CGA|TSHB,23.514574
1973,RAB21,23.43743
3975,CAVIN1,23.41274
5870,POGLUT3,23.337336
1820,PDE5A,23.292988
4589,CAMK1D,23.227562
4950,CLIC1,23.20196
351,CTBP1,23.142727
3125,OTUD7B,23.08928
3699,GNAQ,22.94912
4075,ME2,22.94445
3786,MKNK1,22.924173
2190,ZWILCH,22.903673
4180,CALD1,22.898258
1238,PPP2R5A,22.82049
2017,RRAS,22.817764
4074,PFKFB4,22.7908
18,PNP,22.787321
1078,HK1,22.772446
2301,DSTN,22.766087
5639,MYBPC1,22.751406
1349,MYOM3,22.70066
308,TREML1,22.694271
1857,CADM2,22.659758
4126,FHOD1,22.656082
609,BPGM,22.655043
2786,PRTFDC1,22.643682
4468,IL18BP,22.608015
3467,TRIM40,22.604994
829,KLC1,22.558792
3210,NAE1|UBA3,22.53279
434,AK2,22.475037
1208,ARPC3,22.451963
2575,METAP1D,22.379496
4384,MAPK3,22.306791
1588,BOLA1,22.248905
1681,PHGDH,22.238836
4603,KLK6,22.195442
3727,TRMT112,22.058947
3657,SNX15,22.014832
3002,NEDD8,21.991222
1190,ARHGAP45,21.97307
1630,SORD,21.972206
561,ARFGAP2,21.958761
3700,MEIS2,21.834255
3637,PLEKHA3,21.818926
6085,SLC30A3,21.795761
4789,SPHK1,21.663479
4161,ENPP3,21.655655
2312,HS6ST3,21.641357
3480,ZNF696,21.639456
2099,IRAK4,21.623936
4790,SPON1,21.61873
2565,SNCG,21.607357
1794,RSPO1,21.515148
1621,SRC,21.499296
167,ASCC1,21.48967
4508,METAP1,21.479397
1965,SH3BGRL3,21.477015
3568,AKT1S1,21.376333
4553,AURKB,21.361767
1888,BAG1,21.313364
1943,UCHL5,21.286995
3208,UBA7,21.266157
2451,ACADVL,21.261667
3140,USP46,21.251163
2355,PPP1R14A,21.223421
3735,NUDT11,21.187117
3713,HSDL2,21.166594
5221,YWHAZ,21.159897
3544,SSPN,21.150936
3051,PLA2G12A,21.129044
2666,CPTP,21.096321
1498,RAB6B,21.077797
3157,HOMER3,21.06872
3799,PPM1F,21.05228
4529,DLL4,20.983538
6179,PCDHAC2,20.948902
1489,MYL6B,20.938198
5075,ALCAM,20.927889
2136,CCNB2,20.923386
5895,GPX7,20.892675
3376,N4BP2L2,20.863106
3787,ASNS,20.814213
719,PITPNB,20.806889
1669,GLIPR2,20.788897
3906,COPB2,20.776882
3839,GAB1,20.725332
3405,RALYL,20.634026
468,DNAJB2,20.627369
5480,ITGA5,20.607754
42,EIF2B1,20.589079
4183,RABL6,20.573673
2313,HDAC2,20.558357
2448,EIF2S1,20.549658
3506,RNF31,20.549566
3306,PFKFB1,20.521276
2243,AKAP7,20.477926
2205,SH3GL3,20.471869
5568,KAZALD1,20.46808
2134,ADH6,20.457283
4357,CCL3L1,20.423563
2196,CS,20.418592
3724,SAMD4B,20.37996
832,OLA1,20.378567
4148,EHD3,20.358192
2876,CTDSP1,20.252728
2456,HAGH,20.235296
1005,POLR1C,20.228868
4185,ARHGAP6,20.22468
4554,GRK2,20.176832
1504,AGAP2,20.17448
3436,SDHB,20.157166
5290,FURIN,20.119022
948,GRAP,20.106857
1663,NPTXR,20.091549
6171,FKBP14,20.07755
6286,SYNE2,20.059328
428,GRB10,20.04526
3563,THEM4,20.005476
203,GRIA4,19.9274
1325,RMI1,19.896973
2679,TTC33,19.88316
4109,SRGAP2,19.83063
3683,NDEL1,19.75023
4730,SNX4,19.741016
5623,FREM2,19.669092
1024,LCN10,19.64379
5611,S100A13,19.642874
3663,TMEM221,19.626942
3963,AVEN,19.583128
1852,ADAMTSL1,19.56529
582,JAK2,19.55543
3131,USP12|WDR48,19.541862
938,GMEB2,19.50989
1719,AKT1,19.500193
32,RAD23A,19.4391
667,YWHAB,19.432428
2635,DLAT,19.427382
5502,HBD,19.410847
3209,UBE2H,19.408007
2114,LDLRAP1,19.39672
935,TPPP2,19.365322
6294,TNRC6B,19.331062
4475,MAPK1,19.331055
5129,POFUT1,19.330444
1581,CFL2,19.304516
3696,CCDC97,19.304167
5503,C3orf18,19.303762
3850,SCP2,19.286114
2251,ARF4,19.280369
857,SHMT2,19.265617
5166,CLEC3B,19.248766
3464,TRAPPC6B,19.195553
3654,PNMA2,19.18983
2660,LZTFL1,19.149036
1979,ACOT13,19.133762
1891,KIR2DL1,19.128382
2706,NDUFA2,19.093464
5138,PDIA6,19.057207
7,SPDEF,19.033644
125,TOR1AIP2,18.850115
6259,MMRN2,18.836876
102,RPN1,18.818768
357,TBL2,18.76881
2229,MYL3,18.756222
3791,ABCF3,18.72163
60,SMAD2,18.714838
151,PLOD3,18.566948
347,TBCE,18.557884
5226,DCTN2,18.527624
5587,GP5,18.521769
3705,COX19,18.496206
4077,PACSIN2,18.44806
2476,CRIPT,18.376406
2112,TSSC4,18.298416
1946,UFD1,18.263079
4099,SELENBP1,18.247171
5272,GUCA2B,18.244278
4302,IL10RB,18.226295
3630,VCX3A,18.215118
2400,STAMBP,18.211813
3746,HSD17B4,18.199749
4484,METAP2,18.198345
633,IGBP1,18.136307
3085,SERPINB2,18.123693
656,DARS2,18.086744
2628,NCAM1,18.01801
6128,PLXDC1,18.013638
795,PABPC4,18.009768
3770,PSMD6,17.99311
4800,CLEC1B,17.971746
4591,CA13,17.97127
2307,GBP2,17.944422
2302,DNAJB4,17.93167
5263,MAP2K3,17.890804
2729,ESAM,17.885532
3229,ITGB1BP2,17.885063
4244,LNPK,17.817879
4116,CMIP,17.75147
36,PLCG2,17.729794
911,ZNF334,17.719566
5344,NMES1,17.703833
3448,WARS2,17.70342
5934,SPINK14,17.65035
3881,MARS1,17.64267
539,DAPP1,17.601969
152,GOLM2,17.599297
6183,LRTM1,17.591572
4726,PGAM1,17.560997
5459,TFRC,17.453028
1097,PCSK1,17.439507
1854,OSBPL9,17.399548
2841,GCHFR,17.384914
1360,CRYZ,17.348686
1106,RNF41,17.342863
5829,ITM2B,17.338524
4616,DUSP3,17.337507
2074,SUGT1,17.31875
2479,G6PD,17.299612
2581,LY6D,17.29866
4308,MST1R,17.283916
2106,PDCD6IP,17.281033
3071,NCBP2,17.280615
2388,LRRC59,17.243898
1953,HARS1,17.23872
2325,ITPA,17.17753
1018,LIN7C,17.147814
4321,CKM,17.146988
2580,HBG2,17.136177
1195,SWAP70,17.124329
6122,MANF,17.101576
1883,ANXA4,17.099121
2772,CTDSPL,17.0184
2908,TMED9,16.992004
2721,PDIA4,16.929623
89,DNAJC16,16.900715
6285,IER3,16.863611
4396,SERPINA3,16.850683
6308,TIRAP,16.825531
4193,RABGAP1L,16.80717
3219,ABR,16.768274
557,EVL,16.760424
6303,ADH1B,16.71643
4390,RAC1,16.662918
4285,RAPGEF1,16.647852
4114,MYBPC2,16.647432
2949,RGS14,16.624697
342,PKLR,16.603903
1795,ENO3,16.557583
5978,MYRF,16.53322
414,CLK2,16.47248
6140,SIAE,16.470133
97,TNFRSF14,16.455048
979,DDX6,16.432281
1691,NCAN,16.422388
1491,SNX7,16.420097
4327,PECAM1,16.357891
5896,DPP7,16.333729
482,RBFOX2,16.32376
4011,VIL1,16.312248
1683,ANTXR2,16.294083
4903,AMH,16.27759
1610,LDHA,16.275307
708,MAPRE1,16.271423
2833,UBE2Z,16.217314
2466,RBP1,16.205025
3762,ATP6V1C1,16.194447
3807,GSK3B,16.152927
4304,IL2RG,16.149286
217,TOMM20L,16.144388
1980,TRIP10,16.109327
1616,NEU1,16.076328
728,SH3GL2,16.03394
233,SPAST,15.991215
3642,POLR2M,15.978656
2992,PLA2G4A,15.974927
1731,BMP4,15.959511
818,INPP5B,15.956376
3518,RPS25,15.885541
1391,FGF7,15.859069
1033,TSG101,15.837099
4061,MICALL1,15.818415
5617,P2RX6,15.802981
4688,MAPKAPK3,15.786727
4129,BICD1,15.779667
4313,GDI2,15.757456
4242,MRPL38,15.7548485
5852,FUT8,15.734962
1336,SPSB1,15.707511
2117,TARS1,15.707413
3550,RAB43,15.678175
1568,TXNL4B,15.651271
819,ARRB1,15.630231
2397,MOB1B,15.616129
872,CDC42BPA,15.574903
5046,CCL11,15.569214
402,WWP1,15.554234
1493,MID2,15.553049
2463,SNRPG,15.449761
2439,KARS1,15.446907
5765,SPINK8,15.396652
2573,VSTM1,15.358835
2020,FIS1,15.321369
4823,PDPK1,15.300018
2894,DESI1,15.296941
2921,RTRAF,15.284358
562,RGS8,15.277588
4379,SPINT2,15.267228
693,PMVK,15.248643
2817,PLEKHF2,15.220758
2422,EIF1AY,15.195776
4751,SELP,15.139094
5836,SPON2,15.129858
